Time,Account,Type,Details
2025-12-21 11:13:48.925611+00:00,N/A,Privilege Escalation,
2025-12-21 11:15:57.444496+00:00,N/A,Privilege Escalation,
2025-12-21 11:15:58.433952+00:00,N/A,Privilege Escalation,
2025-12-21 11:21:23.793718+00:00,N/A,Privilege Escalation,
2025-12-21 11:21:57.607924+00:00,N/A,Privilege Escalation,
2025-12-21 11:24:44.842758+00:00,N/A,Privilege Escalation,
2025-12-21 11:28:08.741724+00:00,N/A,Privilege Escalation,
2025-12-21 12:13:08.750626+00:00,N/A,Privilege Escalation,
2025-12-21 12:16:03.677286+00:00,N/A,Privilege Escalation,
2025-12-21 12:16:04.545279+00:00,N/A,Privilege Escalation,
2025-12-21 12:18:12.285864+00:00,N/A,Privilege Escalation,
2025-12-21 12:18:13.236647+00:00,N/A,Privilege Escalation,
2025-12-21 12:24:12.270527+00:00,N/A,Privilege Escalation,
2025-12-21 12:26:47.149666+00:00,N/A,Privilege Escalation,
2025-12-21 12:30:38.385765+00:00,N/A,Privilege Escalation,
2025-12-21 12:35:35.547504+00:00,N/A,Privilege Escalation,
2025-12-21 12:43:29.905886+00:00,N/A,Privilege Escalation,
2025-12-21 13:13:01.767273+00:00,N/A,Privilege Escalation,
2025-12-21 13:13:02.481865+00:00,N/A,Privilege Escalation,
2025-12-21 13:13:03.173870+00:00,N/A,Privilege Escalation,
2025-12-21 13:13:03.227858+00:00,N/A,Privilege Escalation,
2025-12-21 13:13:04.157791+00:00,N/A,Privilege Escalation,
2025-12-21 13:14:05.990387+00:00,N/A,Privilege Escalation,
2025-12-21 13:15:37.219498+00:00,N/A,Privilege Escalation,
2025-12-21 13:15:37.779648+00:00,N/A,Privilege Escalation,
2025-12-21 13:16:14.813887+00:00,N/A,Privilege Escalation,
2025-12-21 13:18:16.566406+00:00,N/A,Privilege Escalation,
2025-12-21 13:18:17.304604+00:00,N/A,Privilege Escalation,
2025-12-21 13:24:16.530495+00:00,N/A,Privilege Escalation,
2025-12-21 13:26:47.958069+00:00,N/A,Privilege Escalation,
2025-12-21 13:28:03.741064+00:00,N/A,Privilege Escalation,
2025-12-21 13:31:08.971945+00:00,N/A,Privilege Escalation,
2025-12-21 13:31:09.496090+00:00,N/A,Privilege Escalation,
2025-12-21 13:43:03.827095+00:00,N/A,Privilege Escalation,
2025-12-21 13:48:07.356039+00:00,N/A,Privilege Escalation,
2025-12-21 13:48:07.893564+00:00,N/A,Privilege Escalation,
2025-12-21 13:58:03.917456+00:00,N/A,Privilege Escalation,
2025-12-21 14:13:03.995394+00:00,N/A,Privilege Escalation,
2025-12-21 14:16:18.999454+00:00,N/A,Privilege Escalation,
2025-12-21 14:18:20.675390+00:00,N/A,Privilege Escalation,
2025-12-21 14:18:21.400421+00:00,N/A,Privilege Escalation,
2025-12-21 14:24:20.818752+00:00,N/A,Privilege Escalation,
2025-12-21 14:26:48.130911+00:00,N/A,Privilege Escalation,
2025-12-21 14:28:04.077038+00:00,N/A,Privilege Escalation,
2025-12-21 14:37:03.565821+00:00,N/A,Privilege Escalation,
2025-12-21 14:43:04.160353+00:00,N/A,Privilege Escalation,
2025-12-21 14:53:09.549173+00:00,N/A,Privilege Escalation,
2025-12-21 14:53:09.805828+00:00,N/A,Privilege Escalation,
2025-12-21 14:58:04.247387+00:00,N/A,Privilege Escalation,
2025-12-21 14:59:36.945602+00:00,N/A,Privilege Escalation,
2025-12-21 15:13:04.346003+00:00,N/A,Privilege Escalation,
2025-12-21 15:16:23.212555+00:00,N/A,Privilege Escalation,
2025-12-21 15:18:24.955784+00:00,N/A,Privilege Escalation,
2025-12-21 15:18:25.688757+00:00,N/A,Privilege Escalation,
2025-12-21 15:24:25.046780+00:00,N/A,Privilege Escalation,
2025-12-21 15:26:48.943676+00:00,N/A,Privilege Escalation,
2025-12-21 15:26:56.191641+00:00,N/A,Privilege Escalation,
2025-12-21 15:27:04.705111+00:00,N/A,Privilege Escalation,
2025-12-21 15:27:35.980890+00:00,N/A,Privilege Escalation,
2025-12-21 15:28:04.430815+00:00,N/A,Privilege Escalation,
2025-12-21 15:30:02.895178+00:00,N/A,Privilege Escalation,
2025-12-21 15:30:28.425467+00:00,N/A,Privilege Escalation,
2025-12-21 15:32:06.168383+00:00,N/A,Privilege Escalation,
2025-12-21 15:32:06.547159+00:00,N/A,Privilege Escalation,
2025-12-21 15:32:58.164825+00:00,N/A,Privilege Escalation,
2025-12-21 15:33:03.257353+00:00,N/A,Privilege Escalation,
2025-12-21 15:33:58.795702+00:00,N/A,Privilege Escalation,
2025-12-21 15:35:46.200525+00:00,N/A,Privilege Escalation,
2025-12-21 15:35:52.148470+00:00,N/A,Privilege Escalation,
2025-12-21 15:38:33.561502+00:00,N/A,Privilege Escalation,
2025-12-21 15:42:22.226461+00:00,N/A,Privilege Escalation,
2025-12-21 15:42:22.856075+00:00,N/A,Privilege Escalation,
